# {"exp_name": "Music Preference", "audio_controller": null, "response_device": null, "stim_rms": 0.01, "stim_fs": 48000, "stim_db": 65, "noise_db": 45, "output_dir": "data", "window_size": [2560, 1440], "screen_num": null, "full_screen": true, "force_quit": ["end"], "participant": "5", "monitor": null, "trigger_controller": null, "session": "00", "check_rms": "windowed", "suppress_resamp": false, "version": "dev", "safe_flipping": null, "n_channels": 2, "trigger_duration": 0.01, "joystick": false, "verbose": null, "date": "2025-08-05 13_23_31.708434", "file": "c:\\users\\admin\\desktop\\music_preference\\music_preference\\code\\stimulus_presentation\\music_preference_presentation_improved.py", "version_used": "2.0.0.dev0+fa61f59"}
timestamp	event	value
105.33025210001506	flip	105.33024880004814
105.33751450001728	flip	105.33750760002295
105.36006980005186	flip	105.3600451000384
105.45866370003205	screen_text	Hi, thank you for participating this study!\n You will first passively listen to sound for 5 min, which sounds like clicks.\n Then you will hear several music.\n Press the SPACE bar to start the experiment.
105.45892740000272	flip	105.45865480002249
118.83927970001241	keypress	space
118.84517640003469	flip	118.84516790002817
118.96433600003365	Drift triggers were stamped at the following times: 	[59.98]
119.05251980002504	trial_id	click train 0
119.06500310002593	play	None
119.06511810002849	screen_text	Click trial number 1 out of 5 trials.
119.06516190001275	flip	119.06485560000874
179.09108660003403	trial_ok	None
179.09130320005352	stop	None
179.16550640005153	Drift triggers were stamped at the following times: 	[59.98]
179.25000540004112	trial_id	click train 1
179.2579877000535	play	None
179.2580826000194	screen_text	Click trial number 2 out of 5 trials.
179.25812340003904	flip	179.25789680000162
239.28619860002073	trial_ok	None
239.28640570002608	stop	None
239.36130110005615	Drift triggers were stamped at the following times: 	[59.98]
239.4286104000057	trial_id	click train 2
239.43595640000422	play	None
239.4360654000193	screen_text	Click trial number 3 out of 5 trials.
239.4361073000473	flip	239.43587100005243
299.47194490005495	trial_ok	None
299.4722967000562	stop	None
299.54919490002794	Drift triggers were stamped at the following times: 	[59.98]
299.6161345000146	trial_id	click train 3
299.623309000046	play	None
299.62344390002545	screen_text	Click trial number 4 out of 5 trials.
299.62349250004627	flip	299.6232197000063
359.66155900002923	trial_ok	None
359.66179050004575	stop	None
359.77532190002967	Drift triggers were stamped at the following times: 	[59.98]
359.8635390000418	trial_id	click train 4
359.8718286000076	play	None
359.87198160000844	screen_text	Click trial number 5 out of 5 trials.
359.8721318000462	flip	359.8717002000194
419.90176950005116	trial_ok	None
419.90201200003503	stop	None
419.926855000027	screen_text	Now you will hear the music.\n After each music, you will be asked questions such as "how do you like the music?"\n Please use your mouse to choose from a scale of 1 to 9 accordingly.\n Press the SPACE bar to continue.
419.9270298000192	flip	419.92684920004103
430.4394246999873	keypress	space
430.44516650005244	flip	430.4451614000136
430.4660673000035	screen_text	You can take a break after each song but not during the song.\n Press the SPACE bar to continue.
430.4662267000531	flip	430.4660531000118
435.6307877000072	keypress	space
435.6366349000018	flip	435.63662990002194
435.65844570001354	screen_text	Preparing first song...
435.65860890003387	screen_text	Please wait...
435.6586530000204	flip	435.6584399000276
435.98803200002294	Drift triggers were stamped at the following times: 	[237.05575]
436.3019440000062	trial_id	5-1_proc.wav
436.3092527000117	play	None
436.30943300004583	screen_text	Trial number 1 out of 15 trials.
436.3094796000514	flip	436.30913880001754
673.4458620000514	stop	None
673.4466018000385	Trial data	{'trial_num': 0, 'trial_id': '5-1_proc.wav', 'song_file': '5-1_proc.wav', 'duration': np.float64(237.07575)}
673.5837223000126	screen_text	How much did you like or enjoy the song overall?
673.584027600009	screen_text	1 = Not at all
673.5841020000516	screen_text	9 = Very much
673.5841480000527	screen_text	1
673.5841962000122	screen_text	2
673.5842409000034	screen_text	3
673.5842811000184	screen_text	4
673.5843195000198	screen_text	5
673.5843604000402	screen_text	6
673.5844093000051	screen_text	7
673.5844506000285	screen_text	8
673.5844878000207	screen_text	9
673.584525400016	flip	673.5837127000559
673.7901236000471	Drift triggers were stamped at the following times: 	[243.20904166666668]
681.1827853000141	mouseclick	left,1273,507
681.3019188000471	screen_text	1
681.302112800011	screen_text	2
681.3021587000112	screen_text	3
681.3021948000533	screen_text	4
681.3022300000302	screen_text	5
681.3022672000225	screen_text	6
681.3023009000462	screen_text	7
681.3023357000202	screen_text	8
681.3023691000417	screen_text	9
681.3024026000057	flip	681.3019124000566
681.5221042000339	screen_text	How pleasant or unpleasant did you find the song?
681.5222558000241	screen_text	1 = Extremely unpleasant
681.5223026000313	screen_text	9 = Extremely pleasant
681.522339600022	screen_text	1
681.5223745000549	screen_text	2
681.5224099000334	screen_text	3
681.5224435000564	screen_text	4
681.5224774000235	screen_text	5
681.5225110000465	screen_text	6
681.5225448000128	screen_text	7
681.5225793000427	screen_text	8
681.5226120000007	screen_text	9
681.5226446000161	flip	681.5220977000427
688.07063989999	mouseclick	left,1280,519
690.1267278000014	mouseclick	left,1283,512
690.2232818000484	screen_text	1
690.2234322000295	screen_text	2
690.2234743000008	screen_text	3
690.223512000055	screen_text	4
690.2235455000191	screen_text	5
690.2235793000436	screen_text	6
690.2236139000161	screen_text	7
690.2236481000436	screen_text	8
690.2236811000039	screen_text	9
690.2237182000536	flip	690.2232760000043
690.4458864000044	screen_text	How emotionally intense or stimulating was the song for you?
690.4460001000552	screen_text	1 = Not intense or stimulating at all
690.4460476000095	screen_text	9 = Extremely intense or stimulating
690.4460846000002	screen_text	1
690.4461196000339	screen_text	2
690.4461556000169	screen_text	3
690.446191300056	screen_text	4
690.4462260000291	screen_text	5
690.4462620000122	screen_text	6
690.4462968000444	screen_text	7
690.4463318000198	screen_text	8
690.4463657000451	screen_text	9
690.44639930001	flip	690.4458803000161
695.9506597000291	mouseclick	left,1415,497
696.0622014000546	screen_text	1
696.062364500016	screen_text	2
696.0624170000083	screen_text	3
696.0624534000526	screen_text	4
696.0624892000342	screen_text	5
696.0625248000142	screen_text	6
696.0625773000065	screen_text	7
696.0626258000266	screen_text	8
696.062658800045	screen_text	9
696.0626935000182	flip	696.0621957000112
696.2852910000365	screen_text	To what extent did you feel chills, goosebumps, \n or a strong emotional reaction while listening to the song?
696.2854668000364	screen_text	1 = Not at all
696.2855114000267	screen_text	9 = Very strongly
696.2855484000174	screen_text	1
696.2855832000496	screen_text	2
696.2856187000289	screen_text	3
696.2856528000557	screen_text	4
696.2857106000301	screen_text	5
696.2857462000102	screen_text	6
696.2857835000032	screen_text	7
696.2858167000231	screen_text	8
696.2858515000553	screen_text	9
696.28588640003	flip	696.2852847000468
705.822790700011	mouseclick	left,777,518
705.8946917000576	screen_text	1
705.8948529000045	screen_text	2
705.894899100007	screen_text	3
705.894936800003	screen_text	4
705.8949714000337	screen_text	5
705.8950051000575	screen_text	6
705.8950395000284	screen_text	7
705.8950727000483	screen_text	8
705.8951054000063	screen_text	9
705.8951422000537	flip	705.8946851000073
706.0955805000267	responses	{'preference': 5, 'pleasantness': 5, 'valence_arousal': 6, 'chills': 1}
706.095738700009	trial_ok	None
706.0959280000534	stop	None
706.5992803000263	trial_id	1-3_proc.wav
706.6063175000018	play	None
706.6065592000377	screen_text	Trial number 2 out of 15 trials.
706.6066132000415	flip	706.6062005000422
949.878447300056	stop	None
949.8788799000322	Trial data	{'trial_num': 1, 'trial_id': '1-3_proc.wav', 'song_file': '1-3_proc.wav', 'duration': np.float64(243.22904166666663)}
950.0038479000214	screen_text	How much did you like or enjoy the song overall?
950.004054900026	screen_text	1 = Not at all
950.0041064000106	screen_text	9 = Very much
950.0041442000074	screen_text	1
950.004182100005	screen_text	2
950.004220200004	screen_text	3
950.00425550004	screen_text	4
950.0042898000102	screen_text	5
950.0043236000347	screen_text	6
950.0043586000102	screen_text	7
950.0043937000446	screen_text	8
950.0044274000102	screen_text	9
950.0044625000446	flip	950.0038251000224
950.2682622000575	Drift triggers were stamped at the following times: 	[252.40414583333333]
955.4306770000258	mouseclick	left,1400,508
955.5309154000133	screen_text	1
955.5310553000309	screen_text	2
955.5310990000144	screen_text	3
955.5311344000511	screen_text	4
955.5311678000144	screen_text	5
955.5312034000526	screen_text	6
955.5312367000151	screen_text	7
955.531270800042	screen_text	8
955.5313048000098	screen_text	9
955.531337500026	flip	955.530906
955.7513300000574	screen_text	How pleasant or unpleasant did you find the song?
955.751497600053	screen_text	1 = Extremely unpleasant
955.7515429000487	screen_text	9 = Extremely pleasant
955.7515795000363	screen_text	1
955.7516142000095	screen_text	2
955.7516483000363	screen_text	3
955.7516802000464	screen_text	4
955.7517136000097	screen_text	5
955.7517464000266	screen_text	6
955.7517799000489	screen_text	7
955.751812500006	screen_text	8
955.7518442000146	screen_text	9
955.751878900046	flip	955.7513237000094
959.0866920000408	mouseclick	left,1400,508
959.1887324000127	screen_text	1
959.1888828000519	screen_text	2
959.1889241000172	screen_text	3
959.1889592000516	screen_text	4
959.1889960000408	screen_text	5
959.1890292000026	screen_text	6
959.1890620000195	screen_text	7
959.1890957000433	screen_text	8
959.1891284000012	screen_text	9
959.1891955000465	flip	959.1887270000298
959.409507400007	screen_text	How emotionally intense or stimulating was the song for you?
959.4096694000182	screen_text	1 = Not intense or stimulating at all
959.4097102000378	screen_text	9 = Extremely intense or stimulating
959.4097762000165	screen_text	1
959.4098098000395	screen_text	2
959.4098595000105	screen_text	3
959.4099061000161	screen_text	4
959.4099537000293	screen_text	5
959.4100000000326	screen_text	6
959.4100482000504	screen_text	7
959.4100933000445	screen_text	8
959.4101578000118	screen_text	9
959.4101906000287	flip	959.4095018000226
961.6626244999934	mouseclick	left,761,503
961.7370160000282	screen_text	1
961.7371798000531	screen_text	2
961.7372234000359	screen_text	3
961.7372588000144	screen_text	4
961.737295100058	screen_text	5
961.7373308000388	screen_text	6
961.7373658000142	screen_text	7
961.7373988000327	screen_text	8
961.7374315000488	screen_text	9
961.7374656000175	flip	961.7370098000392
961.9571753000491	screen_text	To what extent did you feel chills, goosebumps, \n or a strong emotional reaction while listening to the song?
961.9573375000036	screen_text	1 = Not at all
961.9573793000309	screen_text	9 = Very strongly
961.9574168000254	screen_text	1
961.9574503000476	screen_text	2
961.9574844000163	screen_text	3
961.9575174000347	screen_text	4
961.9575495000463	screen_text	5
961.9575831000111	screen_text	6
961.9576160000288	screen_text	7
961.9576478000381	screen_text	8
961.9576813000022	screen_text	9
961.9577143000206	flip	961.9571692000027
966.238592400041	mouseclick	left,761,508
966.3118537000264	screen_text	1
966.312013000017	screen_text	2
966.3120555000496	screen_text	3
966.3120916000335	screen_text	4
966.3121253999998	screen_text	5
966.3121579000144	screen_text	6
966.3121914000367	screen_text	7
966.3122258000076	screen_text	8
966.3122589000268	screen_text	9
966.312291600043	flip	966.3118479000404
966.5127145000151	responses	{'preference': 6, 'pleasantness': 6, 'valence_arousal': 1, 'chills': 1}
966.5128469000338	trial_ok	None
966.5130493000033	stop	None
967.0164222000167	trial_id	1-2_proc.wav
967.0234610000043	play	None
967.0235766000114	screen_text	Trial number 3 out of 15 trials.
967.0236220000079	flip	967.0233778000111
1219.5191526000272	stop	None
1219.5197369000525	Trial data	{'trial_num': 2, 'trial_id': '1-2_proc.wav', 'song_file': '1-2_proc.wav', 'duration': np.float64(252.4241458333333)}
1219.6453815000132	screen_text	How much did you like or enjoy the song overall?
1219.6455870000063	screen_text	1 = Not at all
1219.6456636000075	screen_text	9 = Very much
1219.6457312000566	screen_text	1
1219.6457988000475	screen_text	2
1219.645864900027	screen_text	3
1219.645899300056	screen_text	4
1219.6459647000302	screen_text	5
1219.6460287000518	screen_text	6
