time_s,amp_env_hilbert_primary,amp_env_hilbert_fullband,amp_env_deriv_hwrect,spectral_flux,anm,amp_env_gammatone
0.000000,-1.981183,-1.981183,-1.406525,-1.713013,-4.313021,-1.981183
0.007812,-2.008243,-2.008243,-1.438746,-1.796882,-4.066881,-2.008243
0.015625,-1.979547,-1.979547,-1.410087,-1.710085,-4.171114,-1.979547
0.023438,-2.006134,-2.006134,-1.438087,-1.801391,-4.266887,-2.006134
0.031250,-1.978631,-1.978631,-1.411090,-1.704743,-4.258451,-1.978631
0.039062,-2.004342,-2.004342,-1.436857,-1.807602,-4.377525,-2.004342
0.046875,-1.977323,-1.977323,-1.413157,-1.697740,-4.321130,-1.977323
0.054688,-1.999952,-1.999952,-1.424324,-1.799341,-4.464517,-1.999952
0.062500,-1.975408,-1.975408,-1.399072,-1.671074,-4.360965,-1.975408
0.070312,-2.001774,-2.001774,-1.425195,-1.831346,-4.544577,-2.001774
0.078125,-1.977868,-1.977868,-1.405625,-1.651564,-4.374939,-1.977868
0.085938,-2.002654,-2.002654,-1.421684,-1.866001,-4.644435,-2.002654
0.093750,-1.976772,-1.976772,-1.399214,-1.571361,-4.311090,-1.976772
0.101562,-2.003449,-2.003449,-1.405372,-1.937667,-4.821510,-2.003449
0.109375,-1.757125,-1.757125,-1.064604,-0.045677,-2.207554,-1.757125
0.117188,-0.504239,-0.504239,1.053640,2.326276,4.234853,-0.504239
0.125000,0.095364,0.095364,1.484155,-0.314252,3.542424,0.095364
0.132812,-0.096590,-0.096590,1.225528,-0.651845,2.648258,-0.096590
0.140625,-0.219704,-0.219704,1.457336,-0.413325,1.792845,-0.219704
0.148438,-0.484475,-0.484475,1.476677,-0.510188,2.080850,-0.484475
0.156250,-0.306576,-0.306576,0.902020,-0.548562,1.715630,-0.306576
0.164062,-0.533765,-0.533765,1.031054,-0.415048,1.027718,-0.533765
0.171875,-0.536463,-0.536463,1.744552,-0.283907,1.278069,-0.536463
0.179688,-0.752168,-0.752168,0.555821,-0.228428,1.612613,-0.752168
0.187500,-0.276223,-0.276223,2.316624,0.609057,1.061649,-0.276223
0.195312,-0.178881,-0.178881,1.627579,-0.475363,1.076730,-0.178881
0.203125,-0.250559,-0.250559,1.822710,0.171996,0.819693,-0.250559
0.210938,0.109415,0.109415,2.355489,-0.520211,1.206019,0.109415
0.218750,-0.569107,-0.569107,1.100389,-1.046581,0.601340,-0.569107
0.226562,-0.268353,-0.268353,0.716733,0.057933,0.681031,-0.268353
0.234375,-0.355413,-0.355413,1.312546,-0.247500,0.687246,-0.355413
0.242188,-0.419040,-0.419040,1.200117,-0.091853,1.174969,-0.419040
0.250000,-0.559582,-0.559582,1.264617,0.038804,0.799710,-0.559582
0.257812,-0.181102,-0.181102,1.838456,0.593303,1.156195,-0.181102
0.265625,-0.117773,-0.117773,1.268298,-0.195232,0.634659,-0.117773
0.273438,-0.422267,-0.422267,0.958348,-0.223087,0.461226,-0.422267
0.281250,-0.288730,-0.288730,0.835140,-0.780937,0.275199,-0.288730
0.289062,-0.551744,-0.551744,0.581303,-0.222613,0.355111,-0.551744
0.296875,-0.130504,-0.130504,0.902651,0.133964,0.225683,-0.130504
0.304688,-0.035527,-0.035527,1.408423,-0.462228,0.340961,-0.035527
0.312500,-0.193763,-0.193763,1.372161,-0.636273,0.107403,-0.193763
0.320312,-0.164901,-0.164901,1.016656,0.126739,0.242493,-0.164901
0.328125,-0.046672,-0.046672,2.973905,-0.026515,0.349423,-0.046672
0.335938,-0.259531,-0.259531,1.389189,-0.615245,0.294674,-0.259531
0.343750,-0.326524,-0.326524,0.993995,-0.329583,0.405752,-0.326524
0.351562,-0.318800,-0.318800,1.228192,-0.804631,0.185367,-0.318800
0.359375,-0.532874,-0.532874,0.974355,-0.566080,0.222276,-0.532874
0.367188,-0.534288,-0.534288,1.380603,-0.424743,-0.107304,-0.534288
