time_s,amp_env_hilbert_primary,amp_env_hilbert_fullband,amp_env_deriv_hwrect,spectral_flux,anm,amp_env_gammatone
0.000000,-2.503666,-2.503666,-1.382019,-1.832409,-4.501346,-2.503666
0.007812,-2.453450,-2.453450,-1.371433,-1.751829,-4.175250,-2.453450
0.015625,-2.503971,-2.503971,-1.382241,-1.833588,-4.380223,-2.503971
0.023438,-2.453287,-2.453287,-1.371208,-1.750624,-4.378056,-2.453287
0.031250,-2.504293,-2.504293,-1.382470,-1.834818,-4.480101,-2.504293
0.039062,-2.453108,-2.453108,-1.370973,-1.749368,-4.485226,-2.453108
0.046875,-2.504629,-2.504629,-1.382710,-1.836102,-4.557197,-2.504629
0.054688,-2.452910,-2.452910,-1.370727,-1.748056,-4.562760,-2.452910
0.062500,-2.504982,-2.504982,-1.382955,-1.837442,-4.619031,-2.504982
0.070312,-2.452697,-2.452697,-1.370473,-1.746686,-4.623002,-2.452697
0.078125,-2.505353,-2.505353,-1.383213,-1.838843,-4.668880,-2.505353
0.085938,-2.452463,-2.452463,-1.370212,-1.745254,-4.670652,-2.452463
0.093750,-2.505742,-2.505742,-1.383480,-1.840309,-4.708972,-2.505742
0.101562,-2.452209,-2.452209,-1.369939,-1.743754,-4.708535,-2.452209
0.109375,-2.506154,-2.506154,-1.383757,-1.841843,-4.741139,-2.506154
0.117188,-2.451934,-2.451934,-1.369653,-1.742182,-4.738707,-2.451934
0.125000,-2.506586,-2.506586,-1.384046,-1.843452,-4.766906,-2.506586
0.132812,-2.451637,-2.451637,-1.369358,-1.740534,-4.762758,-2.451637
0.140625,-2.507042,-2.507042,-1.384347,-1.845142,-4.787526,-2.507042
0.148438,-2.451316,-2.451316,-1.369050,-1.738803,-4.781933,-2.451316
0.156250,-2.507523,-2.507523,-1.384660,-1.846917,-4.804014,-2.507523
0.164062,-2.450967,-2.450967,-1.368727,-1.736983,-4.797222,-2.450967
0.171875,-2.508032,-2.508032,-1.384989,-1.848784,-4.817203,-2.508032
0.179688,-2.450592,-2.450592,-1.368391,-1.735066,-4.809414,-2.450592
0.187500,-2.508571,-2.508571,-1.385332,-1.850751,-4.827741,-2.508571
0.195312,-2.450186,-2.450186,-1.368037,-1.733048,-4.819135,-2.450186
0.203125,-2.509143,-2.509143,-1.385691,-1.852825,-4.836171,-2.509143
