time_s,amp_env_hilbert_primary,amp_env_hilbert_fullband,amp_env_deriv_hwrect,spectral_flux,anm,amp_env_gammatone
0.000000,-2.233867,-2.233867,-1.518356,-1.616414,-3.057452,-2.233867
0.007812,-2.243155,-2.243155,-1.527313,-1.629061,-2.821341,-2.243155
0.015625,-2.233762,-2.233762,-1.518356,-1.616387,-2.968514,-2.233762
0.023438,-2.243064,-2.243064,-1.527313,-1.629088,-2.970056,-2.243064
0.031250,-2.233659,-2.233659,-1.518355,-1.616361,-3.041701,-2.233659
0.039062,-2.242973,-2.242973,-1.527313,-1.629114,-3.048668,-2.242973
0.046875,-2.233557,-2.233557,-1.518354,-1.616335,-3.098178,-2.233557
0.054688,-2.242885,-2.242885,-1.527314,-1.629139,-3.105562,-2.242885
0.062500,-2.233457,-2.233457,-1.518354,-1.616311,-3.143470,-2.233457
0.070312,-2.242799,-2.242799,-1.527313,-1.629164,-3.149776,-2.242799
0.078125,-2.233357,-2.233357,-1.518354,-1.616285,-3.179972,-2.233357
0.085938,-2.242713,-2.242713,-1.527315,-1.629188,-3.184759,-2.242713
0.093750,-2.233260,-2.233260,-1.518353,-1.616261,-3.209320,-2.233260
0.101562,-2.242629,-2.242629,-1.527315,-1.629212,-3.212586,-2.242629
0.109375,-2.233164,-2.233164,-1.518353,-1.616237,-3.232852,-2.233164
0.117188,-2.242547,-2.242547,-1.527316,-1.629236,-3.234764,-2.242547
0.125000,-2.233068,-2.233068,-1.518351,-1.616214,-3.251691,-2.233068
0.132812,-2.242465,-2.242465,-1.527318,-1.629260,-3.252453,-2.242465
0.140625,-2.232974,-2.232974,-1.518351,-1.616191,-3.266748,-2.232974
0.148438,-2.242385,-2.242385,-1.527318,-1.629283,-3.266571,-2.242385
0.156250,-2.232881,-2.232881,-1.518349,-1.616167,-3.278778,-2.232881
0.164062,-2.242306,-2.242306,-1.527320,-1.629307,-3.277849,-2.242306
0.171875,-2.232789,-2.232789,-1.518349,-1.616144,-3.288380,-2.232789
0.179688,-2.242228,-2.242228,-1.527320,-1.629329,-3.286850,-2.242228
0.187500,-2.232697,-2.232697,-1.518347,-1.616121,-3.296042,-2.232697
0.195312,-2.242151,-2.242151,-1.527322,-1.629351,-3.294048,-2.242151
0.203125,-2.232606,-2.232606,-1.518345,-1.616099,-3.302150,-2.232606
0.210938,-2.242074,-2.242074,-1.527322,-1.629373,-3.299803,-2.242074
0.218750,-2.232516,-2.232516,-1.518344,-1.616077,-3.307024,-2.232516
0.226562,-2.241998,-2.241998,-1.527324,-1.629395,-3.304405,-2.241998
0.234375,-2.232427,-2.232427,-1.518344,-1.616055,-3.310907,-2.232427
0.242188,-2.241924,-2.241924,-1.527324,-1.629417,-3.308086,-2.241924
0.250000,-2.232338,-2.232338,-1.518343,-1.616034,-3.314002,-2.232338
0.257812,-2.241849,-2.241849,-1.527325,-1.629439,-3.311039,-2.241849
0.265625,-2.232250,-2.232250,-1.518341,-1.616013,-3.316473,-2.232250
0.273438,-2.241776,-2.241776,-1.527327,-1.629460,-3.313402,-2.241776
0.281250,-2.232163,-2.232163,-1.518341,-1.615992,-3.318439,-2.232163
0.289062,-2.241703,-2.241703,-1.527329,-1.629481,-3.315301,-2.241703
0.296875,-2.232076,-2.232076,-1.518338,-1.615971,-3.320008,-2.232076
0.304688,-2.241630,-2.241630,-1.527328,-1.629501,-3.316825,-2.241630
0.312500,-2.231989,-2.231989,-1.518337,-1.615949,-3.321257,-2.231989
0.320312,-2.241558,-2.241558,-1.527331,-1.629523,-3.318049,-2.241558
0.328125,-2.231903,-2.231903,-1.518336,-1.615929,-3.322252,-2.231903
0.335938,-2.241487,-2.241487,-1.527332,-1.629542,-3.319033,-2.241487
0.343750,-2.231817,-2.231817,-1.518335,-1.615908,-3.323047,-2.231817
0.351562,-2.241415,-2.241415,-1.527334,-1.629563,-3.319829,-2.241415
0.359375,-2.231732,-2.231732,-1.518334,-1.615888,-3.323679,-2.231732
0.367188,-2.241345,-2.241345,-1.527335,-1.629583,-3.320473,-2.241345
0.375000,-2.231647,-2.231647,-1.518332,-1.615868,-3.324186,-2.231647
0.382812,-2.241275,-2.241275,-1.527335,-1.629603,-3.320994,-2.241275
0.390625,-2.231563,-2.231563,-1.518331,-1.615848,-3.324589,-2.231563
0.398438,-2.241205,-2.241205,-1.527336,-1.629624,-3.321417,-2.241205
0.406250,-2.231479,-2.231479,-1.518327,-1.615828,-3.324914,-2.231479
0.414062,-2.241136,-2.241136,-1.527339,-1.629643,-3.321759,-2.241136
0.421875,-2.231395,-2.231395,-1.518327,-1.615809,-3.325173,-2.231395
0.429688,-2.241066,-2.241066,-1.527339,-1.629662,-3.322042,-2.241066
0.437500,-2.231311,-2.231311,-1.518327,-1.615790,-3.325377,-2.231311
0.445312,-2.240997,-2.240997,-1.527342,-1.629682,-3.322270,-2.240997
0.453125,-2.231228,-2.231228,-1.518323,-1.615771,-3.325542,-2.231228
0.460938,-2.240929,-2.240929,-1.527342,-1.629701,-3.322459,-2.240929
0.468750,-2.231145,-2.231145,-1.518323,-1.615750,-3.325676,-2.231145
0.476562,-2.240861,-2.240861,-1.527344,-1.629720,-3.322614,-2.240861
0.484375,-2.231062,-2.231062,-1.518322,-1.615731,-3.325785,-2.231062
0.492188,-2.240792,-2.240792,-1.527345,-1.629740,-3.322743,-2.240792
0.500000,-2.230979,-2.230979,-1.518320,-1.615713,-3.325872,-2.230979
0.507812,-2.240724,-2.240724,-1.527347,-1.629758,-3.322852,-2.240724
0.515625,-2.230897,-2.230897,-1.518317,-1.615694,-3.325942,-2.230897
0.523438,-2.240656,-2.240656,-1.527349,-1.629777,-3.322941,-2.240656
0.531250,-2.230815,-2.230815,-1.518315,-1.615674,-3.326000,-2.230815
0.539062,-2.240589,-2.240589,-1.527352,-1.629797,-3.323019,-2.240589
0.546875,-2.230733,-2.230733,-1.518314,-1.615656,-3.326046,-2.230733
0.554688,-2.240521,-2.240521,-1.527353,-1.629816,-3.323083,-2.240521
0.562500,-2.230651,-2.230651,-1.518313,-1.615637,-3.326085,-2.230651
0.570312,-2.240454,-2.240454,-1.527352,-1.629833,-3.323141,-2.240454
0.578125,-2.230569,-2.230569,-1.518311,-1.615619,-3.326119,-2.230569
0.585938,-2.240387,-2.240387,-1.527354,-1.629852,-3.323187,-2.240387
0.593750,-2.230487,-2.230487,-1.518309,-1.615600,-3.326145,-2.230487
0.601562,-2.240320,-2.240320,-1.527357,-1.629870,-3.323228,-2.240320
0.609375,-2.230406,-2.230406,-1.518307,-1.615582,-3.326168,-2.230406
0.617188,-2.240253,-2.240253,-1.527357,-1.629889,-3.323263,-2.240253
0.625000,-2.230324,-2.230324,-1.518305,-1.615564,-3.326187,-2.230324
0.632812,-2.240186,-2.240186,-1.527360,-1.629907,-3.323296,-2.240186
0.640625,-2.230242,-2.230242,-1.518302,-1.615546,-3.326205,-2.230242
0.648438,-2.240119,-2.240119,-1.527361,-1.629925,-3.323323,-2.240119
0.656250,-2.230160,-2.230160,-1.518302,-1.615528,-3.326219,-2.230160
0.664062,-2.240053,-2.240053,-1.527362,-1.629943,-3.323346,-2.240053
0.671875,-2.230079,-2.230079,-1.518300,-1.615510,-3.326234,-2.230079
0.679688,-2.239986,-2.239986,-1.527365,-1.629962,-3.323367,-2.239986
0.687500,-2.229997,-2.229997,-1.518299,-1.615491,-3.326246,-2.229997
0.695312,-2.239919,-2.239919,-1.527365,-1.629979,-3.323389,-2.239919
0.703125,-2.229916,-2.229916,-1.518297,-1.615473,-3.326255,-2.229916
