time_s,amp_env_hilbert_primary,amp_env_hilbert_fullband,amp_env_deriv_hwrect,spectral_flux,anm,amp_env_gammatone
0.593750,-1.795759,-1.795759,-1.360157,-1.510532,-2.977311,-1.795759
0.601562,-1.843415,-1.843415,-1.377690,-1.552252,-2.949579,-1.843415
0.609375,-1.795727,-1.795727,-1.360099,-1.510378,-2.977198,-1.795727
0.617188,-1.843544,-1.843544,-1.377748,-1.552407,-2.949741,-1.843544
0.625000,-1.795696,-1.795696,-1.360039,-1.510220,-2.977092,-1.795696
0.632812,-1.843672,-1.843672,-1.377810,-1.552567,-2.949895,-1.843672
0.640625,-1.795663,-1.795663,-1.359976,-1.510060,-2.976986,-1.795663
0.648438,-1.843798,-1.843798,-1.377874,-1.552728,-2.950035,-1.843798
0.656250,-1.795631,-1.795631,-1.359913,-1.509899,-2.976889,-1.795631
0.664062,-1.843923,-1.843923,-1.377940,-1.552892,-2.950168,-1.843923
0.671875,-1.795599,-1.795599,-1.359848,-1.509733,-2.976794,-1.795599
0.679688,-1.844046,-1.844046,-1.378008,-1.553056,-2.950290,-1.844046
0.687500,-1.795565,-1.795565,-1.359779,-1.509566,-2.976704,-1.795565
0.695312,-1.844169,-1.844169,-1.378077,-1.553225,-2.950406,-1.844169
0.703125,-1.795532,-1.795532,-1.359709,-1.509396,-2.976617,-1.795532
0.710938,-1.844292,-1.844292,-1.378147,-1.553396,-2.950515,-1.844292
0.718750,-1.795498,-1.795498,-1.359636,-1.509224,-2.976536,-1.795498
0.726562,-1.844413,-1.844413,-1.378222,-1.553571,-2.950618,-1.844413
0.734375,-1.795464,-1.795464,-1.359562,-1.509049,-2.976461,-1.795464
0.742188,-1.844535,-1.844535,-1.378299,-1.553748,-2.950715,-1.844535
0.750000,-1.795428,-1.795428,-1.359485,-1.508869,-2.976386,-1.795428
0.757812,-1.844655,-1.844655,-1.378376,-1.553928,-2.950802,-1.844655
0.765625,-1.795393,-1.795393,-1.359408,-1.508690,-2.976319,-1.795393
0.773438,-1.844774,-1.844774,-1.378457,-1.554111,-2.950890,-1.844774
0.781250,-1.795357,-1.795357,-1.359327,-1.508504,-2.976254,-1.795357
0.789062,-1.844894,-1.844894,-1.378538,-1.554296,-2.950970,-1.844894
