time_s,amp_env_hilbert_primary,amp_env_hilbert_fullband,amp_env_deriv_hwrect,spectral_flux,anm,amp_env_gammatone
0.000000,-2.850463,-2.850463,-2.845428,-2.611572,-5.563082,-2.850463
0.007812,-2.735606,-2.735606,-2.787665,-2.479993,-5.201091,-2.735606
0.015625,-2.849758,-2.849758,-2.833383,-2.610653,-5.428468,-2.849758
0.023438,-2.733256,-2.733256,-2.797048,-2.493440,-5.422127,-2.733256
0.031250,-2.850372,-2.850372,-2.838106,-2.612468,-5.538972,-2.850372
0.039062,-2.732214,-2.732214,-2.796049,-2.491315,-5.540903,-2.732214
0.046875,-2.850942,-2.850942,-2.838580,-2.612118,-5.622101,-2.850942
0.054688,-2.731059,-2.731059,-2.796192,-2.491099,-5.626173,-2.731059
0.062500,-2.851788,-2.851788,-2.827052,-2.606095,-5.686810,-2.851788
0.070312,-2.731443,-2.731443,-2.786194,-2.489688,-5.688159,-2.731443
0.078125,-2.852796,-2.852796,-2.829303,-2.610897,-5.742646,-2.852796
0.085938,-2.730707,-2.730707,-2.789109,-2.488504,-5.738622,-2.730707
0.093750,-2.853634,-2.853634,-2.831103,-2.609378,-5.783566,-2.853634
0.101562,-2.730193,-2.730193,-2.786665,-2.488057,-5.782654,-2.730193
0.109375,-2.854316,-2.854316,-2.829040,-2.611324,-5.822252,-2.854316
0.117188,-2.729455,-2.729455,-2.788325,-2.487041,-5.815069,-2.729455
0.125000,-2.855020,-2.855020,-2.831412,-2.611226,-5.847500,-2.855020
0.132812,-2.728964,-2.728964,-2.786283,-2.486946,-5.842453,-2.728964
0.140625,-2.855707,-2.855707,-2.830403,-2.612862,-5.873902,-2.855707
0.148438,-2.728243,-2.728243,-2.787361,-2.485526,-5.862399,-2.728243
0.156250,-2.856309,-2.856309,-2.832711,-2.613076,-5.890498,-2.856309
0.164062,-2.727510,-2.727510,-2.785932,-2.485037,-5.881006,-2.727510
0.171875,-2.857074,-2.857074,-2.832700,-2.614212,-5.905216,-2.857074
0.179688,-2.726815,-2.726815,-2.786456,-2.484783,-5.894187,-2.726815
0.187500,-2.857700,-2.857700,-2.833809,-2.614638,-5.916842,-2.857700
0.195312,-2.726059,-2.726059,-2.786381,-2.482858,-5.903535,-2.726059
0.203125,-2.858605,-2.858605,-2.832762,-2.614825,-5.923213,-2.858605
0.210938,-2.725457,-2.725457,-2.784899,-2.482149,-5.912112,-2.725457
0.218750,-2.859402,-2.859402,-2.833935,-2.615905,-5.933604,-2.859402
0.226562,-2.724602,-2.724602,-2.786831,-2.482427,-5.919497,-2.724602
0.234375,-2.860083,-2.860083,-2.833821,-2.616660,-5.938403,-2.860083
0.242188,-2.723924,-2.723924,-2.785148,-2.480680,-5.926792,-2.723924
0.250000,-2.860992,-2.860992,-2.834920,-2.616582,-5.941460,-2.860992
0.257812,-2.722974,-2.722974,-2.786364,-2.480509,-5.928461,-2.722974
0.265625,-2.861689,-2.861689,-2.834892,-2.619022,-5.944964,-2.861689
0.273438,-2.722249,-2.722249,-2.785725,-2.479018,-5.932817,-2.722249
0.281250,-2.862406,-2.862406,-2.835918,-2.619670,-5.949899,-2.862406
0.289062,-2.721317,-2.721317,-2.784845,-2.478932,-5.934994,-2.721317
0.296875,-2.863432,-2.863432,-2.834895,-2.620445,-5.953832,-2.863432
0.304688,-2.720584,-2.720584,-2.782753,-2.477326,-5.940393,-2.720584
0.312500,-2.864197,-2.864197,-2.837179,-2.620044,-5.955537,-2.864197
0.320312,-2.719608,-2.719608,-2.784003,-2.477586,-5.938639,-2.719608
0.328125,-2.865075,-2.865075,-2.836812,-2.621357,-5.953595,-2.865075
0.335938,-2.718835,-2.718835,-2.782439,-2.475529,-5.941687,-2.718835
0.343750,-2.866158,-2.866158,-2.837261,-2.624273,-5.958126,-2.866158
0.351562,-2.717849,-2.717849,-2.783706,-2.476920,-5.945149,-2.717849
0.359375,-2.866967,-2.866967,-2.838454,-2.622272,-5.956490,-2.866967
0.367188,-2.716786,-2.716786,-2.782607,-2.475399,-5.943610,-2.716786
0.375000,-2.868045,-2.868045,-2.838247,-2.623308,-5.958811,-2.868045
0.382812,-2.715909,-2.715909,-2.782485,-2.473305,-5.943020,-2.715909
0.390625,-2.868956,-2.868956,-2.838287,-2.624851,-5.957904,-2.868956
0.398438,-2.715002,-2.715002,-2.780784,-2.471589,-5.945151,-2.715002
0.406250,-2.869990,-2.869990,-2.839519,-2.626172,-5.959074,-2.869990
0.414062,-2.713884,-2.713884,-2.781194,-2.471412,-5.944079,-2.713884
0.421875,-2.871060,-2.871060,-2.839765,-2.627810,-5.959515,-2.871060
0.429688,-2.712680,-2.712680,-2.781515,-2.470503,-5.945289,-2.712680
0.437500,-2.872162,-2.872162,-2.839762,-2.628077,-5.958977,-2.872162
0.445312,-2.711759,-2.711759,-2.781452,-2.469124,-5.942960,-2.711759
0.453125,-2.873140,-2.873140,-2.841231,-2.630691,-5.961546,-2.873140
0.460938,-2.710532,-2.710532,-2.778308,-2.467215,-5.948743,-2.710532
0.468750,-2.874397,-2.874397,-2.840693,-2.630700,-5.960907,-2.874397
0.476562,-2.709392,-2.709392,-2.780224,-2.467541,-5.945652,-2.709392
0.484375,-2.875496,-2.875496,-2.839919,-2.632105,-5.959682,-2.875496
0.492188,-2.708476,-2.708476,-2.777048,-2.464574,-5.947298,-2.708476
0.500000,-2.876645,-2.876645,-2.843446,-2.633126,-5.960834,-2.876645
0.507812,-2.707018,-2.707018,-2.777091,-2.464486,-5.947187,-2.707018
0.515625,-2.878110,-2.878110,-2.843558,-2.634865,-5.959908,-2.878110
0.523438,-2.705638,-2.705638,-2.777708,-2.463655,-5.947792,-2.705638
0.531250,-2.879405,-2.879405,-2.841978,-2.635696,-5.960989,-2.879405
0.539062,-2.704513,-2.704513,-2.776924,-2.462135,-5.947886,-2.704513
0.546875,-2.880478,-2.880478,-2.845517,-2.637470,-5.961151,-2.880478
0.554688,-2.703041,-2.703041,-2.775448,-2.460107,-5.947967,-2.703041
0.562500,-2.882013,-2.882013,-2.844888,-2.639565,-5.960272,-2.882013
0.570312,-2.701753,-2.701753,-2.773777,-2.457758,-5.947562,-2.701753
0.578125,-2.883357,-2.883357,-2.846524,-2.640630,-5.960807,-2.883357
0.585938,-2.700291,-2.700291,-2.773721,-2.456967,-5.949513,-2.700291
0.593750,-2.884895,-2.884895,-2.847137,-2.641628,-5.960848,-2.884895
0.601562,-2.698742,-2.698742,-2.773693,-2.454249,-5.944822,-2.698742
0.609375,-2.886463,-2.886463,-2.847026,-2.644451,-5.964704,-2.886463
0.617188,-2.697203,-2.697203,-2.773775,-2.454435,-5.945525,-2.697203
0.625000,-2.887980,-2.887980,-2.848716,-2.645184,-5.961842,-2.887980
0.632812,-2.695597,-2.695597,-2.771462,-2.451352,-5.948542,-2.695597
0.640625,-2.889572,-2.889572,-2.850439,-2.647613,-5.963236,-2.889572
0.648438,-2.693881,-2.693881,-2.771535,-2.451079,-5.945614,-2.693881
0.656250,-2.891362,-2.891362,-2.849249,-2.648766,-5.961186,-2.891362
0.664062,-2.692110,-2.692110,-2.772168,-2.448323,-5.945415,-2.692110
0.671875,-2.893025,-2.893025,-2.851820,-2.650822,-5.960917,-2.893025
0.679688,-2.690282,-2.690282,-2.770935,-2.447195,-5.946547,-2.690282
0.687500,-2.894862,-2.894862,-2.852046,-2.652764,-5.961956,-2.894862
0.695312,-2.688524,-2.688524,-2.769037,-2.444818,-5.945385,-2.688524
0.703125,-2.896722,-2.896722,-2.855227,-2.654636,-5.963094,-2.896722
0.710938,-2.686424,-2.686424,-2.765761,-2.442212,-5.947531,-2.686424
0.718750,-2.898914,-2.898914,-2.854795,-2.657150,-5.961742,-2.898914
0.726562,-2.684428,-2.684428,-2.764713,-2.441013,-5.947197,-2.684428
0.734375,-2.900851,-2.900851,-2.856909,-2.657883,-5.962893,-2.900851
0.742188,-2.682277,-2.682277,-2.764544,-2.438491,-5.945801,-2.682277
0.750000,-2.903208,-2.903208,-2.857160,-2.661285,-5.964086,-2.903208
0.757812,-2.680083,-2.680083,-2.764510,-2.435498,-5.945717,-2.680083
0.765625,-2.905386,-2.905386,-2.858047,-2.663703,-5.964952,-2.905386
0.773438,-2.677729,-2.677729,-2.761943,-2.433702,-5.945826,-2.677729
0.781250,-2.907830,-2.907830,-2.859516,-2.666441,-5.963472,-2.907830
0.789062,-2.675224,-2.675224,-2.761247,-2.430773,-5.945374,-2.675224
0.796875,-2.910342,-2.910342,-2.859632,-2.668316,-5.967608,-2.910342
0.804688,-2.672808,-2.672808,-2.759076,-2.426944,-5.942616,-2.672808
0.812500,-2.912996,-2.912996,-2.860792,-2.673065,-5.963307,-2.912996
