time_s,amp_env_hilbert_primary,amp_env_hilbert_fullband,amp_env_deriv_hwrect,spectral_flux,anm,amp_env_gammatone
0.000000,-2.303338,-2.303338,-1.609981,-1.727856,-4.105044,-2.303338
0.007812,-2.307733,-2.307733,-1.617406,-1.736513,-3.489656,-2.307733
0.015625,-2.308357,-2.308357,-1.615896,-1.732057,-3.767340,-2.308357
0.023438,-2.309734,-2.309734,-1.617223,-1.735309,-3.687453,-2.309734
0.031250,-2.309753,-2.309753,-1.616141,-1.732735,-3.834377,-2.309753
0.039062,-2.310647,-2.310647,-1.617066,-1.734841,-3.783510,-2.310647
0.046875,-2.310610,-2.310610,-1.616194,-1.733090,-3.891410,-2.310610
0.054688,-2.311239,-2.311239,-1.616962,-1.734555,-3.851171,-2.311239
0.062500,-2.311234,-2.311234,-1.616242,-1.733330,-3.938432,-2.311234
0.070312,-2.311672,-2.311672,-1.616892,-1.734349,-3.903149,-2.311672
0.078125,-2.311729,-2.311729,-1.616281,-1.733511,-3.976748,-2.311729
0.085938,-2.312014,-2.312014,-1.616842,-1.734188,-3.944067,-2.312014
0.093750,-2.312140,-2.312140,-1.616315,-1.733657,-4.007696,-2.312140
0.101562,-2.312295,-2.312295,-1.616799,-1.734056,-3.976555,-2.312295
0.109375,-2.312491,-2.312491,-1.616347,-1.733779,-4.032544,-2.312491
0.117188,-2.312533,-2.312533,-1.616766,-1.733941,-4.002450,-2.312533
0.125000,-2.312803,-2.312803,-1.616375,-1.733886,-4.052417,-2.312803
0.132812,-2.312743,-2.312743,-1.616741,-1.733840,-4.023140,-2.312743
0.140625,-2.313077,-2.313077,-1.616399,-1.733982,-4.068263,-2.313077
0.148438,-2.312924,-2.312924,-1.616719,-1.733749,-4.039699,-2.312924
0.156250,-2.313327,-2.313327,-1.616419,-1.734068,-4.080871,-2.313327
0.164062,-2.313087,-2.313087,-1.616698,-1.733665,-4.052976,-2.313087
0.171875,-2.313554,-2.313554,-1.616438,-1.734150,-4.090881,-2.313554
0.179688,-2.313234,-2.313234,-1.616682,-1.733586,-4.063633,-2.313234
0.187500,-2.313764,-2.313764,-1.616456,-1.734226,-4.098817,-2.313764
0.195312,-2.313367,-2.313367,-1.616665,-1.733513,-4.072202,-2.313367
0.203125,-2.313960,-2.313960,-1.616470,-1.734298,-4.105094,-2.313960
0.210938,-2.313490,-2.313490,-1.616654,-1.733442,-4.079102,-2.313490
0.218750,-2.314142,-2.314142,-1.616484,-1.734368,-4.110047,-2.314142
0.226562,-2.313602,-2.313602,-1.616642,-1.733373,-4.084673,-2.313602
0.234375,-2.314315,-2.314315,-1.616495,-1.734434,-4.113950,-2.314315
0.242188,-2.313708,-2.313708,-1.616632,-1.733308,-4.089175,-2.313708
0.250000,-2.314477,-2.314477,-1.616508,-1.734499,-4.117012,-2.314477
0.257812,-2.313805,-2.313805,-1.616623,-1.733244,-4.092823,-2.313805
0.265625,-2.314632,-2.314632,-1.616516,-1.734562,-4.119407,-2.314632
0.273438,-2.313897,-2.313897,-1.616616,-1.733182,-4.095790,-2.313897
0.281250,-2.314780,-2.314780,-1.616525,-1.734624,-4.121276,-2.314780
0.289062,-2.313983,-2.313983,-1.616609,-1.733119,-4.098208,-2.313983
0.296875,-2.314920,-2.314920,-1.616535,-1.734685,-4.122727,-2.314920
0.304688,-2.314064,-2.314064,-1.616602,-1.733060,-4.100188,-2.314064
0.312500,-2.315056,-2.315056,-1.616541,-1.734745,-4.123848,-2.315056
0.320312,-2.314140,-2.314140,-1.616596,-1.733000,-4.101813,-2.314140
0.328125,-2.315186,-2.315186,-1.616548,-1.734804,-4.124705,-2.315186
0.335938,-2.314212,-2.314212,-1.616592,-1.732942,-4.103152,-2.314212
0.343750,-2.315313,-2.315313,-1.616556,-1.734862,-4.125353,-2.315313
0.351562,-2.314281,-2.314281,-1.616585,-1.732882,-4.104264,-2.314281
0.359375,-2.315434,-2.315434,-1.616562,-1.734922,-4.125843,-2.315434
0.367188,-2.314346,-2.314346,-1.616583,-1.732824,-4.105187,-2.314346
0.375000,-2.315552,-2.315552,-1.616567,-1.734980,-4.126199,-2.315552
0.382812,-2.314408,-2.314408,-1.616578,-1.732766,-4.105962,-2.314408
0.390625,-2.315666,-2.315666,-1.616572,-1.735037,-4.126461,-2.315666
0.398438,-2.314467,-2.314467,-1.616574,-1.732709,-4.106617,-2.314467
0.406250,-2.315778,-2.315778,-1.616578,-1.735095,-4.126641,-2.315778
0.414062,-2.314523,-2.314523,-1.616568,-1.732651,-4.107173,-2.314523
0.421875,-2.315888,-2.315888,-1.616582,-1.735154,-4.126763,-2.315888
0.429688,-2.314578,-2.314578,-1.616568,-1.732593,-4.107647,-2.314578
0.437500,-2.315994,-2.315994,-1.616587,-1.735210,-4.126837,-2.315994
0.445312,-2.314630,-2.314630,-1.616565,-1.732536,-4.108055,-2.314630
0.453125,-2.316097,-2.316097,-1.616591,-1.735268,-4.126872,-2.316097
0.460938,-2.314679,-2.314679,-1.616562,-1.732478,-4.108409,-2.314679
0.468750,-2.316200,-2.316200,-1.616594,-1.735327,-4.126881,-2.316200
0.476562,-2.314726,-2.314726,-1.616561,-1.732420,-4.108718,-2.314726
0.484375,-2.316299,-2.316299,-1.616598,-1.735385,-4.126871,-2.316299
0.492188,-2.314772,-2.314772,-1.616559,-1.732361,-4.108988,-2.314772
0.500000,-2.316397,-2.316397,-1.616601,-1.735443,-4.126843,-2.316397
0.507812,-2.314815,-2.314815,-1.616557,-1.732303,-4.109234,-2.314815
0.515625,-2.316493,-2.316493,-1.616604,-1.735502,-4.126804,-2.316493
