time_s,amp_env_hilbert_primary,amp_env_hilbert_fullband,amp_env_deriv_hwrect,spectral_flux,anm,amp_env_gammatone
0.000000,-2.532946,-2.532946,-1.563574,-1.871014,-4.183743,-2.532946
0.007812,-2.509371,-2.509371,-1.561085,-1.846489,-3.864191,-2.509371
0.015625,-2.533062,-2.533062,-1.563592,-1.871160,-4.075173,-2.533062
0.023438,-2.509456,-2.509456,-1.561066,-1.846339,-4.047071,-2.509456
0.031250,-2.533174,-2.533174,-1.563608,-1.871314,-4.165953,-2.533174
0.039062,-2.509548,-2.509548,-1.561045,-1.846184,-4.143508,-2.509548
0.046875,-2.533285,-2.533285,-1.563626,-1.871472,-4.236156,-2.533285
0.054688,-2.509647,-2.509647,-1.561023,-1.846023,-4.213113,-2.509647
0.062500,-2.533390,-2.533390,-1.563645,-1.871634,-4.292595,-2.533390
0.070312,-2.509754,-2.509754,-1.560999,-1.845859,-4.267038,-2.509754
0.078125,-2.533493,-2.533493,-1.563663,-1.871803,-4.338248,-2.533493
0.085938,-2.509871,-2.509871,-1.560976,-1.845687,-4.309520,-2.509871
0.093750,-2.533593,-2.533593,-1.563685,-1.871976,-4.375141,-2.533593
0.101562,-2.510001,-2.510001,-1.560950,-1.845511,-4.343108,-2.510001
0.109375,-2.533690,-2.533690,-1.563705,-1.872156,-4.404932,-2.533690
0.117188,-2.510145,-2.510145,-1.560924,-1.845327,-4.369652,-2.510145
0.125000,-2.533785,-2.533785,-1.563727,-1.872342,-4.429017,-2.533785
0.132812,-2.510308,-2.510308,-1.560895,-1.845138,-4.390574,-2.510308
0.140625,-2.533879,-2.533879,-1.563745,-1.872535,-4.448529,-2.533879
0.148438,-2.510492,-2.510492,-1.560862,-1.844943,-4.406993,-2.510492
0.156250,-2.533975,-2.533975,-1.563764,-1.872733,-4.464419,-2.533975
0.164062,-2.510703,-2.510703,-1.560830,-1.844741,-4.419784,-2.510703
0.171875,-2.534080,-2.534080,-1.563785,-1.872937,-4.477444,-2.534080
0.179688,-2.510896,-2.510896,-1.560817,-1.844535,-4.429636,-2.510896
0.187500,-2.533926,-2.533926,-1.563777,-1.873145,-4.488221,-2.533926
0.195312,-2.510773,-2.510773,-1.560772,-1.844326,-4.437095,-2.510773
0.203125,-2.533592,-2.533592,-1.563768,-1.873352,-4.497273,-2.533592
0.210938,-2.510606,-2.510606,-1.560749,-1.844123,-4.442573,-2.510606
0.218750,-2.533162,-2.533162,-1.563720,-1.873549,-4.505016,-2.533162
0.226562,-2.510349,-2.510349,-1.560747,-1.843940,-4.446388,-2.510349
0.234375,-2.532552,-2.532552,-1.563575,-1.873707,-4.511809,-2.532552
0.242188,-2.509875,-2.509875,-1.560809,-1.843831,-4.448774,-2.509875
0.250000,-2.531486,-2.531486,-1.563054,-1.873716,-4.517955,-2.531486
0.257812,-2.508528,-2.508528,-1.561259,-1.843977,-4.449899,-2.508528
0.265625,-2.526622,-2.526622,-1.550007,-1.853718,-4.523608,-2.526622
0.273438,-2.504598,-2.504598,-1.544915,-1.830263,-4.446754,-2.504598
0.281250,-2.527279,-2.527279,-1.554763,-1.868174,-4.527292,-2.527279
0.289062,-2.505499,-2.505499,-1.550651,-1.834437,-4.446566,-2.505499
0.296875,-2.527244,-2.527244,-1.553797,-1.867711,-4.534833,-2.527244
0.304688,-2.505138,-2.505138,-1.551067,-1.833817,-4.443770,-2.505138
0.312500,-2.526379,-2.526379,-1.547025,-1.864789,-4.541541,-2.526379
0.320312,-2.505396,-2.505396,-1.526756,-1.831659,-4.441556,-2.505396
0.328125,-2.527868,-2.527868,-1.559158,-1.875060,-4.550477,-2.527868
0.335938,-2.508876,-2.508876,-1.560363,-1.840908,-4.435777,-2.508876
0.343750,-2.531108,-2.531108,-1.565226,-1.877019,-4.560642,-2.531108
0.351562,-2.508912,-2.508912,-1.559167,-1.840303,-4.425792,-2.508912
0.359375,-2.533115,-2.533115,-1.565830,-1.877480,-4.573628,-2.533115
0.367188,-2.507199,-2.507199,-1.558637,-1.839960,-4.411053,-2.507199
0.375000,-2.536784,-2.536784,-1.566298,-1.877602,-4.593481,-2.536784
0.382812,-2.502073,-2.502073,-1.558153,-1.840316,-4.386632,-2.502073
0.390625,-2.545777,-2.545777,-1.566578,-1.876131,-4.627741,-2.545777
0.398438,-2.487517,-2.487517,-1.558436,-1.844721,-4.338754,-2.487517
0.406250,-2.572761,-2.572761,-1.558238,-1.853990,-4.703384,-2.572761
0.414062,-2.426630,-2.426630,-1.535070,-1.855929,-4.203539,-2.426630
0.421875,-2.685711,-2.685711,-1.543494,-1.607919,-5.006047,-2.685711
0.429688,-0.395242,-0.395242,-1.080341,0.471124,-1.334302,-0.395242
0.437500,1.299552,1.299552,-1.142879,-1.424735,1.536751,1.299552
0.445312,-0.649373,-0.649373,-1.075184,-0.979108,-0.726482,-0.649373
0.453125,2.071896,2.071896,-0.979798,-0.680586,-0.108169,2.071896
0.460938,-0.620362,-0.620362,-1.055587,-1.548951,-0.204067,-0.620362
0.468750,1.171939,1.171939,-0.914074,-0.463249,-0.725383,1.171939
0.476562,0.570058,0.570058,-1.116215,-1.642419,-0.231655,0.570058
0.484375,0.118750,0.118750,-1.041622,-0.757929,-0.627288,0.118750
0.492188,1.797397,1.797397,-1.110509,-1.270925,-0.696559,1.797397
0.500000,-0.084214,-0.084214,-1.097956,-1.557245,-0.986589,-0.084214
0.507812,1.177816,1.177816,-1.105240,-1.060093,-1.163739,1.177816
