time_s,amp_env_hilbert_primary,amp_env_hilbert_fullband,amp_env_deriv_hwrect,spectral_flux,anm,amp_env_gammatone
0.000000,-1.545039,-1.545039,-0.676450,-0.894072,-1.741190,-1.545039
0.007812,-1.524763,-1.524763,-0.670628,-0.488039,-1.708403,-1.524763
0.015625,-1.559670,-1.559670,-0.679771,-1.004676,-1.642804,-1.559670
0.023438,-1.500602,-1.500602,-0.659367,-0.294594,-1.864993,-1.500602
0.031250,-1.623254,-1.623254,-0.710805,-1.416379,-1.623498,-1.623254
0.039062,-1.106126,-1.106126,-0.445288,1.573695,-2.002409,-1.106126
0.046875,5.374481,5.374481,2.543308,5.026587,3.346746,5.374481
0.054688,7.643226,7.643226,4.851178,2.565352,4.271646,7.643226
0.062500,6.566229,6.566229,3.893821,1.969771,3.195012,6.566229
0.070312,3.751548,3.751548,3.759703,1.296220,2.980597,3.751548
0.078125,1.936951,1.936951,3.041870,3.204932,2.620661,1.936951
0.085938,1.115952,1.115952,2.032992,0.760266,2.584754,1.115952
0.093750,1.689653,1.689653,2.882143,2.695642,2.192269,1.689653
0.101562,1.631136,1.631136,2.713678,2.143398,2.403046,1.631136
0.109375,1.236641,1.236641,2.325761,2.265585,1.808026,1.236641
0.117188,1.469706,1.469706,2.413090,2.071047,1.927021,1.469706
0.125000,1.567223,1.567223,2.263332,1.924139,1.579588,1.567223
0.132812,1.052037,1.052037,2.195586,1.765724,1.767081,1.052037
0.140625,1.126304,1.126304,2.305715,2.329436,1.384838,1.126304
0.148438,1.134015,1.134015,1.965498,1.593048,1.639559,1.134015
0.156250,1.120414,1.120414,2.070648,2.066668,1.395683,1.120414
0.164062,1.181971,1.181971,2.207043,1.707463,1.335846,1.181971
0.171875,1.146459,1.146459,2.069182,1.781588,1.374943,1.146459
0.179688,0.746514,0.746514,2.099433,1.457601,1.370377,0.746514
0.187500,0.622099,0.622099,1.635545,1.643094,1.219442,0.622099
0.195312,0.862339,0.862339,1.963333,1.761268,1.265604,0.862339
0.203125,0.764670,0.764670,1.861903,1.628785,1.220918,0.764670
0.210938,0.481677,0.481677,1.686637,1.356509,1.215261,0.481677
0.218750,0.433105,0.433105,1.819662,1.603407,1.165949,0.433105
0.226562,0.541730,0.541730,1.774358,1.520146,1.065302,0.541730
0.234375,0.356502,0.356502,1.580496,1.328211,0.931481,0.356502
0.242188,0.049043,0.049043,1.235822,1.355661,1.068535,0.049043
0.250000,1.491082,1.491082,2.398752,2.746055,0.873971,1.491082
0.257812,6.989699,6.989699,2.082587,1.615729,1.707947,6.989699
0.265625,6.912866,6.912866,2.364588,1.371964,1.601379,6.912866
0.273438,6.413963,6.413963,2.814966,1.617406,1.448945,6.413963
0.281250,4.385730,4.385730,2.873818,1.254140,1.500931,4.385730
0.289062,1.550989,1.550989,2.529523,1.134456,1.368749,1.550989
0.296875,0.229080,0.229080,1.930231,1.298815,1.035170,0.229080
0.304688,0.980753,0.980753,2.675439,1.299966,0.906575,0.980753
0.312500,0.275784,0.275784,1.755912,0.806362,1.012400,0.275784
0.320312,0.068608,0.068608,1.754146,1.139293,0.840740,0.068608
0.328125,-0.032467,-0.032467,1.298013,1.221544,0.856181,-0.032467
0.335938,0.101660,0.101660,1.250407,1.271222,0.843082,0.101660
0.343750,-0.132368,-0.132368,1.142223,0.873399,0.794837,-0.132368
0.351562,-0.161843,-0.161843,0.979895,1.087247,0.399414,-0.161843
0.359375,-0.165828,-0.165828,1.299895,1.089925,0.692441,-0.165828
0.367188,0.075164,0.075164,1.544242,1.139427,0.889529,0.075164
0.375000,0.053465,0.053465,1.716521,0.988240,0.923746,0.053465
0.382812,0.178048,0.178048,1.845594,1.244632,0.959365,0.178048
0.390625,0.145671,0.145671,1.664207,0.677682,0.974182,0.145671
0.398438,0.131926,0.131926,1.958332,0.674296,0.830560,0.131926
0.406250,0.047535,0.047535,1.912737,0.852637,0.953230,0.047535
0.414062,0.132286,0.132286,1.475773,0.815460,0.818660,0.132286
0.421875,-0.131162,-0.131162,1.341180,0.737951,0.739069,-0.131162
0.429688,-0.159802,-0.159802,1.042698,0.696304,0.614919,-0.159802
0.437500,-0.336296,-0.336296,0.904657,0.554552,0.651955,-0.336296
0.445312,-0.283991,-0.283991,0.929880,1.053263,0.583713,-0.283991
0.453125,-0.439964,-0.439964,0.692700,0.553020,0.622816,-0.439964
0.460938,-0.459682,-0.459682,0.756566,0.637299,0.577859,-0.459682
0.468750,-0.421251,-0.421251,0.727970,0.694878,0.349613,-0.421251
0.476562,-0.119598,-0.119598,1.360591,1.017615,0.763396,-0.119598
0.484375,-0.255629,-0.255629,1.268046,0.508594,1.007716,-0.255629
0.492188,-0.246379,-0.246379,1.074779,0.526503,0.776029,-0.246379
0.500000,-0.184787,-0.184787,1.371927,0.896827,0.810027,-0.184787
0.507812,-0.490034,-0.490034,1.021881,0.189230,0.851071,-0.490034
0.515625,-0.645299,-0.645299,0.455819,0.529130,0.711254,-0.645299
0.523438,-0.552072,-0.552072,0.502054,0.427404,0.485487,-0.552072
0.531250,-0.545470,-0.545470,0.630567,0.646750,0.551266,-0.545470
0.539062,-0.524475,-0.524475,0.475341,0.376844,0.654288,-0.524475
0.546875,-0.712292,-0.712292,0.329810,0.366935,0.359842,-0.712292
0.554688,-0.622126,-0.622126,0.368695,0.486349,0.411949,-0.622126
0.562500,-0.719532,-0.719532,0.257841,0.424305,0.227500,-0.719532
0.570312,-0.559644,-0.559644,0.544884,0.496744,0.398626,-0.559644
0.578125,-0.751866,-0.751866,0.218063,0.183103,0.478841,-0.751866
0.585938,-0.666725,-0.666725,0.472901,0.373685,0.309066,-0.666725
0.593750,-0.888728,-0.888728,0.202859,0.158046,0.343103,-0.888728
0.601562,-0.635764,-0.635764,0.060599,0.510073,0.547305,-0.635764
0.609375,-0.803663,-0.803663,0.150493,0.286714,0.350592,-0.803663
0.617188,-0.763960,-0.763960,0.059145,0.291434,0.401673,-0.763960
