time_s,amp_env_hilbert_primary,amp_env_hilbert_fullband,amp_env_deriv_hwrect,spectral_flux,anm,amp_env_gammatone
0.000000,-1.574528,-1.574528,-0.858106,-1.258159,-2.193951,-1.574528
0.007812,-1.590342,-1.590342,-0.884707,-1.265506,-1.973360,-1.590342
0.015625,-1.572889,-1.572889,-0.857089,-1.257775,-2.127718,-1.572889
0.023438,-1.588567,-1.588567,-0.885842,-1.266373,-2.085290,-1.588567
0.031250,-1.568474,-1.568474,-0.847934,-1.240159,-2.186716,-1.568474
0.039062,-1.586756,-1.586756,-0.869160,-1.250771,-2.129130,-1.586756
0.046875,-1.570045,-1.570045,-0.842300,-1.251501,-2.221400,-1.570045
0.054688,-1.588376,-1.588376,-0.875811,-1.255039,-2.183114,-1.588376
0.062500,-1.570286,-1.570286,-0.843977,-1.250381,-2.263919,-1.570286
0.070312,-1.588236,-1.588236,-0.878112,-1.254866,-2.215335,-1.588236
0.078125,-1.568524,-1.568524,-0.843190,-1.252008,-2.297645,-1.568524
0.085938,-1.585945,-1.585945,-0.878969,-1.251568,-2.234792,-1.585945
0.093750,-1.565162,-1.565162,-0.842978,-1.250528,-2.327854,-1.565162
0.101562,-1.585857,-1.585857,-0.879357,-1.251755,-2.245993,-1.585857
0.109375,-1.564759,-1.564759,-0.838377,-1.250286,-2.350854,-1.564759
0.117188,-1.586005,-1.586005,-0.879459,-1.247930,-2.245614,-1.586005
0.125000,-1.565313,-1.565313,-0.835870,-1.252720,-2.386354,-1.565313
0.132812,-1.587058,-1.587058,-0.881546,-1.244751,-2.228630,-1.587058
0.140625,-1.557436,-1.557436,-0.824515,-1.218795,-2.419666,-1.557436
0.148438,-1.564532,-1.564532,-0.822352,-1.111449,-1.361498,-1.564532
0.156250,-1.538392,-1.538392,-0.771136,-1.171399,-1.085301,-1.538392
0.164062,-1.428005,-1.428005,-0.675067,-0.261535,-0.201209,-1.428005
0.171875,-0.959404,-0.959404,-0.080651,0.737136,0.813961,-0.959404
0.179688,-0.588800,-0.588800,0.404933,1.261761,0.558854,-0.588800
0.187500,-0.164393,-0.164393,0.762241,1.904207,0.688649,-0.164393
0.195312,-0.009821,-0.009821,1.096537,2.010044,0.617676,-0.009821
0.203125,0.286310,0.286310,1.334969,2.731594,0.700151,0.286310
0.210938,0.433602,0.433602,1.458945,3.289441,0.535576,0.433602
0.218750,0.536020,0.536020,2.024865,3.360766,0.502733,0.536020
0.226562,0.610113,0.610113,1.895881,2.765502,0.228649,0.610113
0.234375,0.799784,0.799784,1.758506,2.791910,0.212721,0.799784
0.242188,0.429830,0.429830,1.606745,2.240172,0.084811,0.429830
0.250000,0.412445,0.412445,1.579795,2.753603,0.145182,0.412445
0.257812,0.433792,0.433792,1.469533,2.402981,-0.072315,0.433792
