time_s,amp_env_hilbert_primary,amp_env_hilbert_fullband,amp_env_deriv_hwrect,spectral_flux,anm,amp_env_gammatone
0.000000,-1.619232,-1.619232,-1.127492,-1.596782,-2.807296,-1.619232
0.007812,-1.626700,-1.626700,-1.124569,-1.585067,-2.522852,-1.626700
0.015625,-1.619617,-1.619617,-1.128232,-1.592830,-2.696582,-1.619617
0.023438,-1.626891,-1.626891,-1.126897,-1.588085,-2.680220,-1.626891
0.031250,-1.620067,-1.620067,-1.124348,-1.588772,-2.768746,-1.620067
0.039062,-1.626024,-1.626024,-1.118661,-1.579728,-2.759861,-1.626024
0.046875,-1.618451,-1.618451,-1.121100,-1.589912,-2.825454,-1.618451
0.054688,-1.625401,-1.625401,-1.115400,-1.583210,-2.820546,-1.625401
0.062500,-1.618984,-1.618984,-1.128677,-1.593844,-2.872952,-1.618984
0.070312,-1.626019,-1.626019,-1.127046,-1.583356,-2.867569,-1.626019
0.078125,-1.619061,-1.619061,-1.125865,-1.589867,-2.910429,-1.619061
0.085938,-1.625502,-1.625502,-1.120068,-1.582006,-2.903041,-1.625502
0.093750,-1.618618,-1.618618,-1.123217,-1.586847,-2.939110,-1.618618
0.101562,-1.624983,-1.624983,-1.118129,-1.581891,-2.928364,-1.624983
0.109375,-1.619166,-1.619166,-1.126140,-1.594063,-2.963145,-1.619166
0.117188,-1.625404,-1.625404,-1.123719,-1.583671,-2.954977,-1.625404
0.125000,-1.619154,-1.619154,-1.125258,-1.590844,-2.981800,-1.619154
0.132812,-1.625177,-1.625177,-1.121572,-1.584548,-2.972271,-1.625177
0.140625,-1.619565,-1.619565,-1.127827,-1.591532,-2.999902,-1.619565
0.148438,-1.625092,-1.625092,-1.124138,-1.584624,-2.985922,-1.625092
0.156250,-1.619569,-1.619569,-1.125248,-1.589529,-3.012161,-1.619569
0.164062,-1.624560,-1.624560,-1.117803,-1.584121,-2.997545,-1.624560
0.171875,-1.620055,-1.620055,-1.128863,-1.594560,-3.022909,-1.620055
0.179688,-1.624794,-1.624794,-1.126057,-1.586072,-3.006332,-1.624794
0.187500,-1.620218,-1.620218,-1.125906,-1.589865,-3.030962,-1.620218
0.195312,-1.623911,-1.623911,-1.114810,-1.582921,-3.012328,-1.623911
0.203125,-1.620331,-1.620331,-1.123756,-1.592687,-3.038272,-1.620331
0.210938,-1.623703,-1.623703,-1.117818,-1.581848,-3.016232,-1.623703
0.218750,-1.619560,-1.619560,-1.124584,-1.586301,-3.043546,-1.619560
0.226562,-1.622057,-1.622057,-1.121460,-1.583988,-3.014359,-1.622057
0.234375,-1.618212,-1.618212,-1.111892,-1.560313,-3.050536,-1.618212
0.242188,-1.609598,-1.609598,-1.087450,-1.546760,-2.981280,-1.609598
0.250000,-1.608175,-1.608175,-1.094756,-1.546368,-3.044581,-1.608175
0.257812,-1.593747,-1.593747,-1.074634,-1.487769,-2.920808,-1.593747
0.265625,-1.610880,-1.610880,-1.093658,-1.542881,-2.608286,-1.610880
0.273438,-1.544951,-1.544951,-1.078578,-1.471934,-2.938889,-1.544951
0.281250,-1.531209,-1.531209,-1.097587,-1.516686,-3.108615,-1.531209
0.289062,-1.553822,-1.553822,-1.089368,-1.572574,-2.960566,-1.553822
0.296875,-1.559062,-1.559062,-1.094984,-1.421636,-3.038391,-1.559062
0.304688,-1.505519,-1.505519,-1.009333,-1.376652,-2.367602,-1.505519
0.312500,-1.482822,-1.482822,-0.994853,-1.507363,-2.268048,-1.482822
0.320312,-1.462672,-1.462672,-0.851328,-1.322941,-2.213817,-1.462672
0.328125,-1.497610,-1.497610,-0.988125,-1.583027,-2.144420,-1.497610
0.335938,-1.489811,-1.489811,-0.863283,-1.386518,-2.557899,-1.489811
0.343750,-1.495415,-1.495415,-0.929309,-1.453806,-2.563433,-1.495415
0.351562,-1.483382,-1.483382,-0.870862,-1.400828,-2.532561,-1.483382
0.359375,-1.513525,-1.513525,-0.997816,-1.589651,-2.558376,-1.513525
0.367188,-1.491312,-1.491312,-0.900844,-1.356390,-2.725930,-1.491312
0.375000,-1.503015,-1.503015,-0.943016,-1.501864,-2.570399,-1.503015
0.382812,-1.541007,-1.541007,-1.009787,-1.485163,-2.576123,-1.541007
0.390625,-1.516057,-1.516057,-0.940285,-1.523431,-2.749727,-1.516057
0.398438,-1.542617,-1.542617,-0.978507,-1.534537,-2.821035,-1.542617
0.406250,-1.514609,-1.514609,-0.936511,-1.508232,-2.807877,-1.514609
0.414062,-1.553220,-1.553220,-1.033133,-1.523245,-2.846744,-1.553220
0.421875,-1.527174,-1.527174,-0.950872,-1.481161,-2.798004,-1.527174
0.429688,-1.544321,-1.544321,-0.974505,-1.466192,-2.887355,-1.544321
0.437500,-1.538075,-1.538075,-0.979231,-1.538557,-2.878410,-1.538075
0.445312,-1.566722,-1.566722,-1.047134,-1.555667,-2.884418,-1.566722
0.453125,-1.552340,-1.552340,-1.030210,-1.527367,-2.874984,-1.552340
0.460938,-1.575652,-1.575652,-1.080528,-1.549864,-2.898352,-1.575652
0.468750,-1.559267,-1.559267,-1.056027,-1.543287,-2.868336,-1.559267
0.476562,-1.586077,-1.586077,-1.086509,-1.580132,-2.945402,-1.586077
0.484375,-1.521593,-1.521593,-1.051635,-1.352398,-2.967505,-1.521593
0.492188,-1.394504,-1.394504,-1.045000,-1.348943,-2.048076,-1.394504
0.500000,-1.387700,-1.387700,-1.048845,-1.561311,-2.151552,-1.387700
0.507812,-1.383405,-1.383405,-1.049096,-1.487570,-2.256533,-1.383405
0.515625,-1.381126,-1.381126,-1.047429,-1.583620,-2.267625,-1.381126
0.523438,-1.392196,-1.392196,-1.059798,-1.494246,-2.447774,-1.392196
0.531250,-1.399809,-1.399809,-1.053549,-1.587115,-2.429255,-1.399809
0.539062,-1.405473,-1.405473,-1.054997,-1.460884,-2.432622,-1.405473
0.546875,-1.405973,-1.405973,-1.059852,-1.599281,-2.415218,-1.405973
0.554688,-1.405053,-1.405053,-1.065581,-1.495235,-2.525769,-1.405053
0.562500,-1.405188,-1.405188,-1.063767,-1.602429,-2.450243,-1.405188
0.570312,-1.407909,-1.407909,-1.067861,-1.474650,-2.515213,-1.407909
0.578125,-1.416131,-1.416131,-1.061321,-1.613877,-2.465947,-1.416131
0.585938,-1.417731,-1.417731,-1.073944,-1.479106,-2.608255,-1.417731
0.593750,-1.424959,-1.424959,-1.071302,-1.646809,-2.507775,-1.424959
0.601562,-1.412361,-1.412361,-1.073185,-1.444556,-2.671907,-1.412361
0.609375,-1.432704,-1.432704,-1.081574,-1.685234,-2.487271,-1.432704
0.617188,-1.410731,-1.410731,-1.064807,-1.317699,-2.707505,-1.410731
0.625000,-1.456387,-1.456387,-1.096151,-1.897092,-2.410065,-1.456387
0.632812,-1.306848,-1.306848,-1.004794,-0.344020,-2.954697,-1.306848
0.640625,-0.394388,-0.394388,-0.680462,-0.082044,-0.269975,-0.394388
0.648438,-0.559310,-0.559310,-0.888262,-1.617192,0.055403,-0.559310
