time_s,amp_env_hilbert_primary,amp_env_hilbert_fullband,amp_env_deriv_hwrect,spectral_flux,anm,amp_env_gammatone
0.000000,-2.003668,-2.003668,-1.603558,-2.221704,-4.394053,-2.003668
0.007812,-1.994721,-1.994721,-1.603361,-2.100092,-4.018134,-1.994721
0.015625,-2.004036,-2.004036,-1.602469,-2.225572,-4.252048,-2.004036
0.023438,-1.989429,-1.989429,-1.579381,-2.062236,-4.231791,-1.989429
0.031250,-2.000744,-2.000744,-1.572751,-2.219701,-4.350471,-2.000744
0.039062,-1.989249,-1.989249,-1.576830,-2.075104,-4.342812,-1.989249
0.046875,-2.001513,-2.001513,-1.576869,-2.229776,-4.432971,-2.001513
0.054688,-1.988513,-1.988513,-1.581479,-2.063106,-4.423943,-1.988513
0.062500,-2.002190,-2.002190,-1.581533,-2.239299,-4.497352,-2.002190
0.070312,-1.987459,-1.987459,-1.592205,-2.057683,-4.489120,-1.987459
0.078125,-2.003007,-2.003007,-1.585829,-2.247278,-4.548035,-2.003007
0.085938,-1.986314,-1.986314,-1.592355,-2.041116,-4.538881,-1.986314
0.093750,-2.004409,-2.004409,-1.569183,-2.259548,-4.589254,-2.004409
0.101562,-1.985303,-1.985303,-1.576436,-2.026150,-4.576206,-1.985303
0.109375,-2.006036,-2.006036,-1.569597,-2.280007,-4.622977,-2.006036
0.117188,-1.983412,-1.983412,-1.577560,-2.003849,-4.608829,-1.983412
0.125000,-2.008066,-2.008066,-1.580826,-2.308080,-4.653354,-2.008066
0.132812,-1.980278,-1.980278,-1.596910,-1.978572,-4.634168,-1.980278
0.140625,-2.011080,-2.011080,-1.583158,-2.343436,-4.676868,-2.011080
0.148438,-1.975914,-1.975914,-1.590761,-1.931517,-4.648088,-1.975914
0.156250,-2.017564,-2.017564,-1.587137,-2.395457,-4.697694,-2.017564
0.164062,-1.954422,-1.954422,-1.578269,-1.777700,-4.617941,-1.954422
0.171875,-2.009234,-2.009234,-1.570915,-2.466366,-4.438275,-2.009234
0.179688,-1.939556,-1.939556,-1.576335,-1.667839,-4.473838,-1.939556
0.187500,-2.025705,-2.025705,-1.580625,-2.673092,-4.434497,-2.025705
0.195312,-1.906182,-1.906182,-1.567801,-1.359687,-4.451900,-1.906182
0.203125,-2.146919,-2.146919,-1.641033,-3.469073,-4.775872,-2.146919
0.210938,-1.298035,-1.298035,-1.127981,3.377825,-4.353879,-1.298035
0.218750,1.358267,1.358267,2.098975,5.276547,3.855995,1.358267
0.226562,1.069588,1.069588,1.834962,-0.842123,4.556036,1.069588
0.234375,1.081830,1.081830,1.692672,0.575500,3.148437,1.081830
0.242188,0.925974,0.925974,2.173347,-0.933783,2.426027,0.925974
0.250000,1.035986,1.035986,1.669622,-0.096161,2.190638,1.035986
0.257812,0.959462,0.959462,1.466942,-1.460449,1.791602,0.959462
0.265625,1.154620,1.154620,1.050670,-0.772980,1.515449,1.154620
0.273438,1.193091,1.193091,0.738576,-1.554060,1.263931,1.193091
0.281250,1.411264,1.411264,0.499863,-0.705024,1.112343,1.411264
0.289062,1.608842,1.608842,0.178455,-1.530926,0.745243,1.608842
0.296875,1.899100,1.899100,-0.007307,-0.904332,0.662391,1.899100
0.304688,2.179982,2.179982,-0.066426,-1.400363,0.907240,2.179982
0.312500,2.293351,2.293351,-0.288597,-1.220845,0.498780,2.293351
0.320312,2.498934,2.498934,-0.467953,-1.291059,0.112115,2.498934
0.328125,2.587861,2.587861,-0.399820,-0.962082,0.144231,2.587861
0.335938,2.632796,2.632796,-0.385372,-1.159028,-0.020069,2.632796
0.343750,2.591365,2.591365,-0.384435,-0.430180,0.441074,2.591365
0.351562,2.609957,2.609957,-0.169622,-0.818741,0.304973,2.609957
0.359375,2.602476,2.602476,-0.190304,-0.842700,0.395334,2.602476
0.367188,2.595080,2.595080,-0.495048,-0.909389,0.197835,2.595080
0.375000,2.615610,2.615610,-0.009735,0.211676,0.696879,2.615610
0.382812,2.378500,2.378500,-0.116626,-0.501478,1.358724,2.378500
0.390625,2.213157,2.213157,-0.447844,-0.189631,0.881414,2.213157
0.398438,2.001201,2.001201,-0.575138,-0.759159,-0.478040,2.001201
0.406250,1.778585,1.778585,-0.700739,-0.349275,-0.501427,1.778585
0.414062,1.595433,1.595433,-0.673941,-0.301448,-0.411859,1.595433
0.421875,1.400699,1.400699,-0.726067,0.246840,-0.217553,1.400699
0.429688,1.276354,1.276354,-0.793397,0.097032,-0.245538,1.276354
0.437500,1.278075,1.278075,-0.907058,0.193200,-1.081612,1.278075
0.445312,1.235436,1.235436,-0.656039,0.348451,-0.309133,1.235436
0.453125,1.329373,1.329373,-0.672071,0.341873,-0.776035,1.329373
0.460938,1.419275,1.419275,-0.778116,-0.039760,-0.789843,1.419275
0.468750,1.488427,1.488427,-0.740820,0.407755,-0.561697,1.488427
0.476562,1.493772,1.493772,-0.718432,-0.079025,-0.691606,1.493772
0.484375,1.497923,1.497923,-0.751345,0.093476,-0.402157,1.497923
0.492188,1.522070,1.522070,-0.630022,0.246315,0.012757,1.522070
0.500000,1.580432,1.580432,-0.512823,0.705464,-0.143324,1.580432
0.507812,1.622595,1.622595,-0.506915,0.185592,-0.285692,1.622595
0.515625,1.653341,1.653341,-0.590727,-0.043260,-0.131306,1.653341
0.523438,1.695406,1.695406,-0.645200,-0.225728,-0.236729,1.695406
0.531250,1.613840,1.613840,-0.706542,0.129960,-0.594461,1.613840
0.539062,1.480451,1.480451,-0.812342,0.300841,-1.052649,1.480451
0.546875,1.494386,1.494386,-0.773540,0.552830,-1.077568,1.494386
0.554688,1.440546,1.440546,-0.755371,0.146706,-0.777800,1.440546
0.562500,1.488944,1.488944,-0.678198,0.291870,-0.679496,1.488944
0.570312,1.393039,1.393039,-0.627395,0.220048,-0.695659,1.393039
0.578125,1.356685,1.356685,-0.672590,0.327116,-0.142441,1.356685
0.585938,1.271153,1.271153,-0.701530,0.327689,0.063837,1.271153
0.593750,1.337189,1.337189,-0.546138,0.288389,0.243353,1.337189
0.601562,1.263568,1.263568,-0.410736,0.380461,0.467053,1.263568
0.609375,1.196957,1.196957,-0.103606,0.738276,0.585697,1.196957
0.617188,1.231074,1.231074,-0.214016,0.742780,0.589885,1.231074
0.625000,1.316034,1.316034,-0.266715,0.799112,0.379852,1.316034
0.632812,1.182441,1.182441,-0.444711,0.066020,-0.067976,1.182441
0.640625,0.913547,0.913547,-0.477791,0.291041,-0.550676,0.913547
0.648438,0.584042,0.584042,-0.511549,0.732106,-0.421197,0.584042
0.656250,0.513102,0.513102,-0.356739,1.280608,0.078695,0.513102
0.664062,0.582156,0.582156,-0.291973,0.830004,0.621436,0.582156
0.671875,0.886054,0.886054,-0.312489,0.965434,-0.735275,0.886054
0.679688,1.125304,1.125304,-0.130720,1.478332,0.695579,1.125304
0.687500,1.325112,1.325112,0.056603,1.683505,0.262824,1.325112
0.695312,1.395126,1.395126,0.284829,1.797138,1.143851,1.395126
0.703125,1.474563,1.474563,-0.210102,1.705796,-0.020998,1.474563
0.710938,1.233953,1.233953,-0.127535,1.691578,-0.198535,1.233953
0.718750,0.927423,0.927423,-0.097620,2.025685,-0.405507,0.927423
0.726562,0.810236,0.810236,-0.016584,1.950788,-0.452287,0.810236
0.734375,0.876139,0.876139,-0.063157,2.000201,0.064502,0.876139
0.742188,0.957781,0.957781,0.069381,1.792028,0.034591,0.957781
0.750000,0.993893,0.993893,0.187900,1.353513,0.192431,0.993893
0.757812,1.075526,1.075526,0.278062,0.837040,0.344541,1.075526
0.765625,1.253597,1.253597,0.333712,0.507733,0.226923,1.253597
0.773438,1.210088,1.210088,0.406714,0.404481,0.499288,1.210088
0.781250,1.036406,1.036406,0.145602,0.289714,0.101698,1.036406
0.789062,0.717372,0.717372,0.087944,0.567335,-0.265082,0.717372
0.796875,0.553530,0.553530,0.000428,0.730838,-0.204871,0.553530
0.804688,0.607407,0.607407,0.004446,0.841055,-0.119688,0.607407
0.812500,0.638024,0.638024,0.081322,1.315469,0.178494,0.638024
0.820312,0.333442,0.333442,0.246970,1.015998,0.007419,0.333442
0.828125,0.512772,0.512772,0.408725,1.326658,-0.207767,0.512772
0.835938,0.953778,0.953778,0.358940,1.613503,0.084670,0.953778
0.843750,1.043589,1.043589,0.421883,1.318243,0.154383,1.043589
0.851562,1.173020,1.173020,0.600129,0.866173,0.437783,1.173020
0.859375,1.236952,1.236952,0.699056,0.726946,0.657006,1.236952
0.867188,1.104748,1.104748,0.815590,0.669067,0.597064,1.104748
0.875000,0.735622,0.735622,0.949084,0.680519,0.539118,0.735622
0.882812,0.412558,0.412558,0.777183,0.831851,0.452903,0.412558
0.890625,0.256539,0.256539,0.677630,0.550417,0.499381,0.256539
0.898438,0.131225,0.131225,0.489204,0.208525,0.604485,0.131225
0.906250,0.396536,0.396536,0.412508,0.815573,0.651741,0.396536
