time_s,amp_env_hilbert_primary,amp_env_hilbert_fullband,amp_env_deriv_hwrect,spectral_flux,anm,amp_env_gammatone
0.000000,-1.907498,-1.907498,-1.790674,-1.756930,-4.045480,-1.907498
0.007812,-1.909496,-1.909496,-1.841819,-1.939969,-3.746825,-1.909496
0.015625,-1.907203,-1.907203,-1.790105,-1.754331,-3.936942,-1.907203
0.023438,-1.910074,-1.910074,-1.842410,-1.942667,-3.929346,-1.910074
0.031250,-1.906867,-1.906867,-1.789500,-1.751529,-4.026898,-1.906867
0.039062,-1.910692,-1.910692,-1.843038,-1.945579,-4.025790,-1.910692
0.046875,-1.906485,-1.906485,-1.788854,-1.748499,-4.096330,-1.906485
0.054688,-1.911355,-1.911355,-1.843707,-1.948733,-4.095552,-1.911355
0.062500,-1.906054,-1.906054,-1.788159,-1.745212,-4.152032,-1.906054
0.070312,-1.912072,-1.912072,-1.844424,-1.952161,-4.149741,-1.912072
0.078125,-1.905567,-1.905567,-1.787418,-1.741633,-4.196952,-1.905567
0.085938,-1.912848,-1.912848,-1.845196,-1.955903,-4.192581,-1.912848
0.093750,-1.905016,-1.905016,-1.786620,-1.737716,-4.233102,-1.905016
0.101562,-1.913695,-1.913695,-1.846028,-1.960009,-4.226615,-1.913695
0.109375,-1.904393,-1.904393,-1.785755,-1.733409,-4.262131,-1.904393
0.117188,-1.914623,-1.914623,-1.846927,-1.964532,-4.253694,-1.914623
0.125000,-1.903687,-1.903687,-1.784817,-1.728651,-4.285420,-1.903687
0.132812,-1.915648,-1.915648,-1.847906,-1.969544,-4.275240,-1.915648
0.140625,-1.902801,-1.902801,-1.783786,-1.723361,-4.304092,-1.902801
0.148438,-1.916547,-1.916547,-1.848973,-1.975136,-4.292376,-1.916547
0.156250,-1.901599,-1.901599,-1.782660,-1.717441,-4.319075,-1.901599
0.164062,-1.917525,-1.917525,-1.850153,-1.981412,-4.305989,-1.917525
0.171875,-1.900252,-1.900252,-1.781417,-1.710772,-4.331110,-1.900252
0.179688,-1.918644,-1.918644,-1.851461,-1.988519,-4.316780,-1.918644
0.187500,-1.898730,-1.898730,-1.780027,-1.703187,-4.340803,-1.898730
0.195312,-1.919936,-1.919936,-1.852927,-1.996632,-4.325305,-1.919936
0.203125,-1.896998,-1.896998,-1.778464,-1.694483,-4.348644,-1.896998
0.210938,-1.921435,-1.921435,-1.854585,-2.005994,-4.332003,-1.921435
0.218750,-1.895005,-1.895005,-1.776688,-1.684384,-4.355023,-1.895005
0.226562,-1.923189,-1.923189,-1.856483,-2.016925,-4.337220,-1.923189
0.234375,-1.892689,-1.892689,-1.774639,-1.672512,-4.360267,-1.892689
0.242188,-1.925259,-1.925259,-1.858685,-2.029867,-4.341228,-1.925259
0.250000,-1.889964,-1.889964,-1.772238,-1.658344,-4.364629,-1.889964
0.257812,-1.927728,-1.927728,-1.861291,-2.045451,-4.344234,-1.927728
0.265625,-1.886710,-1.886710,-1.769368,-1.641118,-4.368334,-1.886710
0.273438,-1.930710,-1.930710,-1.864445,-2.064596,-4.346396,-1.930710
0.281250,-1.882755,-1.882755,-1.765851,-1.619705,-4.371568,-1.882755
0.289062,-1.934364,-1.934364,-1.868368,-2.088713,-4.347816,-1.934364
0.296875,-1.877844,-1.877844,-1.761394,-1.592325,-4.374495,-1.877844
0.304688,-1.938917,-1.938917,-1.873446,-2.120083,-4.348577,-1.938917
0.312500,-1.871561,-1.871561,-1.755492,-1.556000,-4.377260,-1.871561
0.320312,-1.944695,-1.944695,-1.880403,-2.162690,-4.348709,-1.944695
