time_s,amp_env_hilbert_primary,amp_env_hilbert_fullband,amp_env_deriv_hwrect,spectral_flux,anm,amp_env_gammatone
0.000000,-2.555868,-2.555868,-2.524462,-2.874166,-5.925750,-2.555868
0.007812,-2.561195,-2.561195,-2.522280,-2.885850,-5.543732,-2.561195
0.015625,-2.555857,-2.555857,-2.524472,-2.874150,-5.787522,-2.555857
0.023438,-2.561264,-2.561264,-2.522274,-2.885868,-5.776443,-2.561264
0.031250,-2.555848,-2.555848,-2.524478,-2.874130,-5.902088,-2.555848
0.039062,-2.561333,-2.561333,-2.522263,-2.885887,-5.899534,-2.561333
0.046875,-2.555837,-2.555837,-2.524487,-2.874113,-5.990476,-2.555837
0.054688,-2.561402,-2.561402,-2.522258,-2.885905,-5.988640,-2.561402
0.062500,-2.555823,-2.555823,-2.524496,-2.874095,-6.061341,-2.555823
0.070312,-2.561471,-2.561471,-2.522250,-2.885923,-6.057904,-2.561471
0.078125,-2.555812,-2.555812,-2.524502,-2.874077,-6.118440,-2.555812
0.085938,-2.561540,-2.561540,-2.522239,-2.885942,-6.112719,-2.561540
0.093750,-2.555799,-2.555799,-2.524511,-2.874058,-6.164340,-2.555799
0.101562,-2.561610,-2.561610,-2.522232,-2.885962,-6.156324,-2.561610
0.109375,-2.555786,-2.555786,-2.524518,-2.874037,-6.201138,-2.555786
0.117188,-2.561679,-2.561679,-2.522225,-2.885979,-6.191091,-2.561679
0.125000,-2.555771,-2.555771,-2.524525,-2.874020,-6.230580,-2.555771
0.132812,-2.561751,-2.561751,-2.522219,-2.885999,-6.218827,-2.561751
0.140625,-2.555757,-2.555757,-2.524535,-2.873999,-6.254116,-2.555757
0.148438,-2.561821,-2.561821,-2.522208,-2.886019,-6.240978,-2.561821
0.156250,-2.555742,-2.555742,-2.524543,-2.873980,-6.272904,-2.555742
0.164062,-2.561892,-2.561892,-2.522200,-2.886038,-6.258671,-2.561892
0.171875,-2.555724,-2.555724,-2.524551,-2.873961,-6.287894,-2.555724
0.179688,-2.561963,-2.561963,-2.522192,-2.886057,-6.272812,-2.561963
0.187500,-2.555709,-2.555709,-2.524560,-2.873940,-6.299843,-2.555709
0.195312,-2.562033,-2.562033,-2.522183,-2.886077,-6.284119,-2.562033
0.203125,-2.555691,-2.555691,-2.524567,-2.873922,-6.309370,-2.555691
