time_s,amp_env_hilbert_primary,amp_env_hilbert_fullband,amp_env_deriv_hwrect,spectral_flux,anm,amp_env_gammatone
0.000000,-2.199800,-2.199800,-1.224802,-1.695666,-3.302265,-2.199800
0.007812,-2.218184,-2.218184,-1.228992,-1.686222,-3.051228,-2.218184
0.015625,-2.199626,-2.199626,-1.224753,-1.695679,-3.206288,-2.199626
0.023438,-2.218264,-2.218264,-1.229038,-1.686207,-3.212867,-2.218264
0.031250,-2.199447,-2.199447,-1.224705,-1.695695,-3.285726,-2.199447
0.039062,-2.218346,-2.218346,-1.229086,-1.686190,-3.298379,-2.218346
0.046875,-2.199262,-2.199262,-1.224656,-1.695716,-3.346985,-2.199262
0.054688,-2.218431,-2.218431,-1.229133,-1.686168,-3.360306,-2.218431
0.062500,-2.199073,-2.199073,-1.224606,-1.695738,-3.396076,-2.199073
0.070312,-2.218520,-2.218520,-1.229183,-1.686144,-3.408461,-2.218520
0.078125,-2.198878,-2.198878,-1.224553,-1.695764,-3.435611,-2.198878
0.085938,-2.218612,-2.218612,-1.229235,-1.686114,-3.446598,-2.218612
0.093750,-2.198678,-2.198678,-1.224501,-1.695794,-3.467367,-2.198678
0.101562,-2.218706,-2.218706,-1.229285,-1.686083,-3.476956,-2.218706
0.109375,-2.198472,-2.198472,-1.224445,-1.695828,-3.492805,-2.198472
0.117188,-2.218805,-2.218805,-1.229338,-1.686047,-3.501184,-2.218805
0.125000,-2.198259,-2.198259,-1.224390,-1.695868,-3.513136,-2.198259
0.132812,-2.218907,-2.218907,-1.229390,-1.686007,-3.520542,-2.218907
0.140625,-2.198040,-2.198040,-1.224332,-1.695911,-3.529356,-2.198040
0.148438,-2.219012,-2.219012,-1.229446,-1.685960,-3.536025,-2.219012
0.156250,-2.197816,-2.197816,-1.224275,-1.695960,-3.542278,-2.197816
0.164062,-2.219121,-2.219121,-1.229502,-1.685907,-3.548425,-2.219121
0.171875,-2.197582,-2.197582,-1.224216,-1.696014,-3.552557,-2.197582
0.179688,-2.219234,-2.219234,-1.229560,-1.685849,-3.558361,-2.219234
0.187500,-2.197342,-2.197342,-1.224154,-1.696077,-3.560727,-2.197342
0.195312,-2.219351,-2.219351,-1.229619,-1.685784,-3.566339,-2.219351
0.203125,-2.197094,-2.197094,-1.224090,-1.696145,-3.567201,-2.197094
0.210938,-2.219470,-2.219470,-1.229680,-1.685712,-3.572758,-2.219470
0.218750,-2.196837,-2.196837,-1.224027,-1.696221,-3.572323,-2.196837
0.226562,-2.219595,-2.219595,-1.229744,-1.685631,-3.577934,-2.219595
