time_s,amp_env_hilbert_primary,amp_env_hilbert_fullband,amp_env_deriv_hwrect,spectral_flux,anm,amp_env_gammatone
0.000000,-3.201606,-3.201606,-1.625848,-2.216595,-5.271807,-3.201606
0.007812,-3.230018,-3.230018,-1.636803,-2.212749,-4.816383,-3.230018
0.015625,-3.207678,-3.207678,-1.630905,-2.219121,-5.064816,-3.207678
0.023438,-3.232553,-3.232553,-1.636445,-2.212254,-5.047669,-3.232553
0.031250,-3.208981,-3.208981,-1.631124,-2.219307,-5.169663,-3.208981
0.039062,-3.233780,-3.233780,-1.636390,-2.212175,-5.167353,-3.233780
0.046875,-3.209657,-3.209657,-1.631210,-2.219339,-5.252119,-3.209657
0.054688,-3.234648,-3.234648,-1.636365,-2.212165,-5.253489,-3.234648
0.062500,-3.210078,-3.210078,-1.631259,-2.219334,-5.318536,-3.210078
0.070312,-3.235352,-3.235352,-1.636349,-2.212179,-5.320341,-3.235352
0.078125,-3.210357,-3.210357,-1.631294,-2.219317,-5.372107,-3.210357
0.085938,-3.235961,-3.235961,-1.636331,-2.212200,-5.373259,-3.235961
0.093750,-3.210547,-3.210547,-1.631322,-2.219292,-5.415137,-3.210547
0.101562,-3.236513,-3.236513,-1.636318,-2.212227,-5.415411,-3.236513
0.109375,-3.210673,-3.210673,-1.631345,-2.219264,-5.449571,-3.210673
0.117188,-3.237032,-3.237032,-1.636304,-2.212253,-5.449088,-3.237032
0.125000,-3.210752,-3.210752,-1.631366,-2.219237,-5.477051,-3.210752
0.132812,-3.237524,-3.237524,-1.636290,-2.212283,-5.476041,-3.237524
0.140625,-3.210788,-3.210788,-1.631384,-2.219209,-5.498926,-3.210788
0.148438,-3.237999,-3.237999,-1.636277,-2.212311,-5.497650,-3.237999
0.156250,-3.210790,-3.210790,-1.631398,-2.219180,-5.516303,-3.210790
0.164062,-3.238464,-3.238464,-1.636263,-2.212340,-5.515000,-3.238464
0.171875,-3.210763,-3.210763,-1.631412,-2.219150,-5.530078,-3.210763
0.179688,-3.238924,-3.238924,-1.636251,-2.212369,-5.528957,-3.238924
0.187500,-3.210710,-3.210710,-1.631424,-2.219121,-5.540969,-3.210710
0.195312,-3.239383,-3.239383,-1.636239,-2.212399,-5.540209,-3.239383
0.203125,-3.210632,-3.210632,-1.631435,-2.219093,-5.549559,-3.210632
0.210938,-3.239844,-3.239844,-1.636226,-2.212427,-5.549303,-3.239844
0.218750,-3.210529,-3.210529,-1.631445,-2.219063,-5.556303,-3.210529
0.226562,-3.240311,-3.240311,-1.636215,-2.212457,-5.556678,-3.240311
0.234375,-3.210406,-3.210406,-1.631454,-2.219034,-5.561579,-3.210406
0.242188,-3.240784,-3.240784,-1.636203,-2.212487,-5.562685,-3.240784
0.250000,-3.210259,-3.210259,-1.631463,-2.219005,-5.565679,-3.210259
0.257812,-3.241266,-3.241266,-1.636194,-2.212515,-5.567595,-3.241266
0.265625,-3.210091,-3.210091,-1.631470,-2.218976,-5.568845,-3.210091
0.273438,-3.241760,-3.241760,-1.636184,-2.212546,-5.571639,-3.241760
0.281250,-3.209898,-3.209898,-1.631476,-2.218946,-5.571259,-3.209898
0.289062,-3.242268,-3.242268,-1.636174,-2.212576,-5.574983,-3.242268
0.296875,-3.209685,-3.209685,-1.631480,-2.218916,-5.573071,-3.209685
